lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
honda,800,5220,0,140,0.00043544814717922514,9.094904767812389e-05,0.000857826047709684,0.0006334023612755146,10096,9.0
honda,820,5758,0,146,0.00020378496913350306,0.0,0.00048281401403924224,0.00027897893709027954,10684,9.0
honda,840,5582,0,147,0.0,0.0,0.0,0.0,9853,9.0
honda,860,3870,0,97,0.0,0.0,0.0,0.0,6535,9.0
honda,880,811,0,20,0.0,0.0,0.0,0.0,1283,8.0
santander,360,0,0,0,0.0,,,0.0,1,2.0
santander,380,0,0,0,0.5,0.0,1.0,0.5,9,4.0
santander,400,5,0,0,0.20211975540573485,0.06473684999069178,0.3374160588720445,0.21583298500461667,83,4.0
santander,420,26,0,0,0.1305898767032788,0.06857382635285492,0.19112092687291032,0.16060218109214663,288,3.0
santander,440,64,0,0,0.16436639205607487,0.12221734119345036,0.2061274454292621,0.18734368042623317,768,3.0
santander,460,130,3,4,0.1474756961130902,0.12230270966552438,0.18053752151464073,0.18497733725062548,1877,3.0
santander,480,229,2,1,0.15140415475202215,0.12946102228364473,0.17127740228907917,0.17591931158018959,3610,3.0
santander,500,393,5,9,0.14696823262737893,0.13245656339775844,0.16408865792639402,0.17180476842883086,6818,3.0
santander,520,565,6,4,0.1534929118370977,0.13999418962179683,0.167650716172065,0.18141086170449472,9979,3.0
santander,540,819,12,10,0.1487217716894528,0.1375945745563764,0.16097948170114681,0.1760513338838796,14121,3.0
santander,560,978,14,15,0.13885917211789167,0.12862810791855722,0.14778847593917585,0.16591977155349813,17945,3.0
santander,580,1211,17,18,0.13739942177445233,0.12946506990343537,0.14602478234292648,0.16611851414310075,21118,3.0
santander,600,1286,8,18,0.12136646850100567,0.11331075111334918,0.12747310040317364,0.14845934458770604,21994,3.0
santander,620,1069,10,10,0.11741393574855445,0.10860887127874361,0.1255502331177959,0.14447647022053445,18040,3.0
santander,640,594,5,6,0.13028156119016684,0.1199510341637524,0.14143536352267996,0.1614658310139394,11184,3.0
santander,660,396,4,2,0.12577369708397365,0.11192465718901622,0.14125068110490957,0.15847969458587607,7370,4.0
santander,680,257,2,2,0.1176319104106543,0.10232272947432669,0.13596445911441382,0.14717052392595287,5509,4.0
santander,700,188,1,3,0.0836990133282953,0.0682449711369076,0.09969016519125906,0.10594457065330087,4033,6.0
santander,720,156,0,2,0.06586781245732783,0.04887139668054957,0.08129282388609127,0.0838157643546178,3093,12.0
santander,740,117,0,1,0.0962392855949858,0.06969641584567955,0.12473000332311608,0.11826561853352191,2257,40.0
santander,760,94,0,3,0.053250537580642625,0.030915240529774065,0.08204352607148567,0.06816982664218452,1627,52.0
santander,780,76,0,0,0.033960412508537235,0.016020744085509842,0.05143280620644209,0.047250862619813594,1354,54.0
santander,800,81,0,1,0.021408850470856392,0.00698079077599982,0.04117856959046964,0.026038364686665205,1212,54.0
santander,820,49,0,1,0.04285612666038214,0.013857475815311432,0.08225546927589979,0.06040411979218219,1029,55.0
santander,840,41,0,0,0.013554860146262745,0.0,0.03102481600313918,0.01777884078769043,882,56.5
santander,860,23,0,2,0.021094821684903273,0.0,0.051486565854189786,0.0260006842285323,553,61.0
santander,880,9,0,0,0.0,0.0,0.0,0.0,180,64.0
santander,900,0,0,0,0.0,0.0,0.0,0.0,7,66.0
santander,none,679,10,14,0.1268835263690387,0.1193377343440844,0.13416565827935098,0.17771718609083287,28468,3.0
toyota,620,630,1,14,0.03460059277237458,0.022430548998138126,0.04974823612509823,0.0427660700067094,970,13.0
toyota,640,1079,3,19,0.04079522610096647,0.030786632072056546,0.05235293649107302,0.05339278641256029,1672,13.0
toyota,660,1760,7,32,0.02547496044372959,0.017872504573585534,0.03283523677237252,0.03199437490982704,2659,14.0
toyota,680,2951,3,47,0.014218763539101717,0.009995835653801998,0.019549044795924158,0.017981105323619073,4352,14.0
toyota,700,3894,6,68,0.012582487674698248,0.009166716611506483,0.016369225749878858,0.015269012989529984,5655,14.0
toyota,720,4744,4,106,0.006523279918816913,0.004381518306648192,0.0091007788060657,0.007870724933035311,6962,14.0
toyota,740,4737,2,86,0.006052867683403398,0.0037558048036058205,0.008746258526846634,0.00747230101621954,6863,13.0
toyota,760,4742,3,110,0.004044761376924229,0.0024526691942121106,0.005403251183670453,0.005124085070905338,6907,13.0
toyota,780,4712,1,89,0.0017222247697003235,0.0004902739779490819,0.0027290090187574146,0.00220891475335272,6879,13.0
toyota,800,4698,1,102,0.0016501239915181806,0.0007727171921713844,0.0028569607653404017,0.002157043494664612,7005,12.0
toyota,820,4703,0,95,0.000713095204439544,0.00015601291031253002,0.0014496964798038129,0.0009193688314614867,6898,12.0
toyota,840,4337,0,105,0.000398197061764926,0.0,0.0011494942212460619,0.0005084056138440207,6400,12.0
toyota,860,2984,0,49,0.0005121668280698954,0.0,0.0013348140436553828,0.0006806730871540267,4355,12.0
toyota,880,1015,0,31,0.0,0.0,0.0,0.0,1469,11.0
toyota,900,61,0,4,0.0,0.0,0.0,0.0,86,11.0
