spec,event,factor,level,odds_ratio,lo95,hi95,p
terms,chargeoff,score_b,640,1.06014459791925,1.0073655689324927,1.1156888851068976,0.024985827764597884
terms,chargeoff,score_b,680,0.938913223772155,0.7771237127621999,1.1343857191550888,0.5136089368670139
terms,chargeoff,score_b,700,0.8241942670838078,0.6091528162823178,1.1151490590482451,0.2100507993153159
terms,chargeoff,score_b,720,0.6394639788248346,0.4319808058469214,0.9466026607658887,0.02547228894268922
terms,chargeoff,score_b,740,0.4606990758183655,0.29389320963102755,0.7221794567025227,0.0007272942163573071
terms,chargeoff,score_b,760,0.30979536535763613,0.18445193710827468,0.5203153184600836,9.447472729006245e-06
terms,chargeoff,score_b,780,0.23909827332255645,0.13354412056566434,0.4280831238670528,1.471838084270689e-06
terms,chargeoff,score_b,800,0.14124014005284113,0.08346955596987037,0.2389946481726463,3.0203454785954564e-13
terms,chargeoff,score_b,820,0.11514738714695545,0.0551568325047871,0.2403858264634775,8.61697585490434e-09
terms,chargeoff,score_b,840,0.06897725429489929,0.0276701727206359,0.17194911134453733,9.599483370251032e-09
terms,chargeoff,score_b,860,0.03852928632382267,0.01014728964729371,0.14629580471461434,1.7220498438850985e-06
terms,chargeoff,score_b,880,0.055838364880700854,0.006333782067852829,0.49226875177397295,0.0093723311991461
terms,chargeoff,score_b,900,1.4660121856842193e-09,2.605094073513144e-10,8.24995822771303e-09,8.11559392639199e-118
terms,chargeoff,score_b,none,1.2105977160220602,1.0986519154554513,1.3339500977707572,0.00011319615368879839
terms,chargeoff,lender,americredit,0.9850612329234769,0.7894231393113571,1.2291831646272602,0.8940005966408751
terms,chargeoff,lender,capone,0.24148847044920968,0.14297922778976596,0.4078682075808004,1.0747821573520311e-07
terms,chargeoff,lender,carmax,0.24098910930433706,0.17636797708003857,0.3292873897223532,4.1055443543913406e-19
terms,chargeoff,lender,exeter,1.132094099241441,1.004829823299282,1.275476722346011,0.04143465038322302
terms,chargeoff,lender,honda,0.16169024147657776,0.11380910272553264,0.2297156691570048,2.7069158348225238e-24
terms,chargeoff,lender,toyota,0.20254890665743097,0.14446708290240334,0.2839820585000417,2.0223197802748317e-20
terms,chargeoff,cohort_q,2017Q3,11958230854.342655,0.0,inf,0.9998611811750274
terms,chargeoff,cohort_q,2017Q4,1.0184486445052923,,,
terms,chargeoff,cohort_q,2018Q1,6229897720.923577,,,
terms,chargeoff,cohort_q,2018Q2,7428324251.077555,,,
terms,chargeoff,cohort_q,2018Q3,5113734985.073143,,,
terms,chargeoff,cohort_q,2018Q4,3649030994.520973,,,
terms,chargeoff,cohort_q,2019Q1,4072970085.9649734,,,
terms,chargeoff,cohort_q,2019Q2,4213532085.3589907,,,
terms,chargeoff,cohort_q,2019Q3,6688755216.740405,0.0,inf,0.9997688348037226
terms,chargeoff,cohort_q,2019Q4,4353982342.580826,,,
terms,chargeoff,cohort_q,2020Q1,4182421000.180382,,,
terms,chargeoff,cohort_q,2020Q2,3536105324.161122,,,
terms,chargeoff,cohort_q,2020Q3,3009405717.602644,,,
terms,chargeoff,cohort_q,2020Q4,3020967869.2989116,0.0,inf,0.9998505650093742
terms,chargeoff,cohort_q,2021Q1,8652327852.181927,0.0,inf,0.9997919170981233
terms,chargeoff,cohort_q,2021Q2,7182603280.712156,0.0,inf,0.9998018975147289
terms,chargeoff,cohort_q,2021Q3,8765692400.804668,,,
terms,chargeoff,cohort_q,2021Q4,8226571681.280064,,,
terms,chargeoff,cohort_q,2022Q1,11401158326.547457,,,
terms,chargeoff,cohort_q,2022Q2,13498617443.930012,,,
