lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,460,11,406,2,5,0.03695663358277412,0.020382917940160852,0.06014114017942897,0.038266512195411995,734,9.0
americredit,460,12,403,5,1,0.04821947793644438,0.027320532991399363,0.0704240773783392,0.050198689463458956,734,9.0
americredit,460,13,403,2,4,0.05265754166687325,0.03194154989839771,0.07550328580523535,0.05491234361004238,734,9.0
americredit,460,14,407,5,4,0.06348009265569551,0.03967905609725818,0.08933847786788673,0.06652275707920652,734,9.0
americredit,460,15,405,8,2,0.08049688393886098,0.05353124085707845,0.10540136615894016,0.08496181372949374,734,9.0
americredit,460,16,399,4,7,0.08891998238102934,0.06099742737876936,0.11320205685553444,0.09413512888007525,734,9.0
americredit,460,17,390,3,3,0.09520490968018575,0.06778145165626023,0.12023840842649337,0.10110332019638235,734,9.0
americredit,460,18,387,1,2,0.09728364532435117,0.07128927715953468,0.12319792230394024,0.10342605063515131,734,9.0
americredit,460,19,387,2,7,0.10140888815308255,0.07377802216903818,0.12932292942834123,0.10805950773781203,734,9.0
americredit,460,20,384,1,3,0.10343928110784878,0.07587620374158044,0.12976719882312707,0.1103822694364115,734,9.0
americredit,460,21,384,3,3,0.10946701019231102,0.08115139925780326,0.137780761479203,0.11733240795643951,734,9.0
americredit,460,22,385,2,2,0.11341243286577721,0.08412850288941424,0.14372564772335944,0.12191769414887355,734,9.0
americredit,460,23,390,5,4,0.12304836901058887,0.09364734084181338,0.152548845476067,0.13317515960850335,734,9.0
americredit,460,24,389,1,3,0.1249359225690327,0.0956171508797148,0.15417091005028433,0.13540350110051236,734,9.0
americredit,460,25,388,6,2,0.1361736770020359,0.10427951743043382,0.1674624118699674,0.1487735500525662,734,9.0
americredit,460,26,384,4,3,0.1435874733293644,0.11057029843024986,0.17631350596851142,0.1576404922395186,734,9.0
americredit,460,27,379,5,4,0.15280581506881968,0.11835359311454857,0.18609573320834033,0.16875341450548798,734,9.0
americredit,460,28,371,6,4,0.1638380084173861,0.13065602894846604,0.19668570237094551,0.18219675551079006,734,9.0
americredit,460,29,358,5,7,0.17310854333086953,0.13992155654965818,0.2062386253081951,0.1936185885343824,734,9.0
americredit,460,30,306,7,4,0.18778386069064526,0.1556118169049194,0.21823217288304445,0.21206522213000112,734,9.0
americredit,460,31,247,2,2,0.1927916323750106,0.1597999841556397,0.22539783291516555,0.2184452608172076,734,9.0
americredit,460,32,214,3,4,0.20132122480001605,0.16655769066468834,0.2362444286560866,0.22940163566556449,734,9.0
americredit,460,33,177,2,3,0.2079714155042576,0.1707518262154766,0.24228513563991952,0.2381089618162361,734,9.0
americredit,460,34,147,1,3,0.21186200326320165,0.17175166278843332,0.24598761712772912,0.2432918940487787,734,9.0
americredit,460,35,123,0,1,0.21186200326320165,0.17175166278843332,0.24598761712772912,0.2432918940487787,734,9.0
americredit,460,36,100,1,0,0.21738031172194455,0.17829356143830025,0.25583132774602085,0.2508589751082909,734,9.0
americredit,480,0,0,0,0,0.0,0.0,0.0,0.0,2295,9.0
americredit,480,1,0,0,0,0.0,0.0,0.0,0.0,2295,9.0
americredit,480,2,29,0,0,0.0,0.0,0.0,0.0,2295,9.0
americredit,480,3,256,0,0,0.0,0.0,0.0,0.0,2295,9.0
americredit,480,4,469,0,6,0.0,0.0,0.0,0.0,2295,9.0
americredit,480,5,638,2,7,0.0030946922351966096,0.0,0.006683589826168094,0.0031347962382445305,2295,9.0
americredit,480,6,768,2,7,0.005629277412200083,0.0012010275644691447,0.010527674899092758,0.005730799373040774,2295,9.0
americredit,480,7,900,7,11,0.013110527992988667,0.006186902577429457,0.02228466357915783,0.013464004266806051,2295,9.0
americredit,480,8,1016,1,7,0.014038320879976227,0.007256833609509519,0.023480123293945766,0.014435004262606466,2295,9.0
americredit,480,9,1150,7,9,0.019730935323962515,0.011078663248512649,0.03030174892606886,0.020434095541008057,2295,9.0
americredit,480,10,1258,8,13,0.025595504735255223,0.014860991662143733,0.036647540594417514,0.026663449464435662,2295,9.0
americredit,480,11,1264,5,16,0.029182565831857812,0.018911079101702137,0.040790901365293064,0.03051367316117448,2295,9.0
americredit,480,12,1263,6,15,0.03341887646661033,0.022414612492134472,0.04703759190366456,0.03511930891812853,2295,9.0
americredit,480,13,1269,11,11,0.04102019980414498,0.02799024866064262,0.05519508459899375,0.04348312893538664,2295,9.0
americredit,480,14,1278,16,9,0.05180847717151526,0.037733508627890607,0.06572187129839498,0.055458301030092194,2295,9.0
americredit,480,15,1275,10,7,0.05843480635843436,0.044334981814570504,0.07229713227441906,0.06286647121809141,2295,9.0
americredit,480,16,1272,13,9,0.06695422361652201,0.053090360809462264,0.08138127547183337,0.07244409376067373,2295,9.0
americredit,480,17,1258,9,12,0.07281477419457545,0.05764333686519192,0.08865820939783198,0.07908002631723487,2295,9.0
americredit,480,18,1251,15,13,0.08247304899480476,0.06593814389829301,0.09844643395025551,0.09012223223669258,2295,9.0
americredit,480,19,1239,13,10,0.09073546013544752,0.07480213971648206,0.10776312994498728,0.09966897233428984,2295,9.0
americredit,480,20,1232,13,15,0.0988905672353027,0.08303426228466158,0.11479935771399684,0.1091692185677754,2295,9.0
americredit,480,21,1225,10,14,0.10505618666903938,0.08860865382139226,0.12008240805642187,0.11644130657946705,2295,9.0
americredit,480,22,1218,10,5,0.11113575065911963,0.09392173953468805,0.12643512510207242,0.12369548304433187,2295,9.0
americredit,480,23,1225,12,7,0.11830020663959297,0.10222603980656417,0.13552847825435513,0.132279690557367,2295,9.0
americredit,480,24,1221,5,6,0.12124872353573371,0.10413661820963238,0.1387495923681049,0.13583300877785276,2295,9.0
americredit,480,25,1223,15,7,0.13000024956434444,0.11269284914253336,0.14654826421814413,0.14643194979856589,2295,9.0
americredit,480,26,1208,14,10,0.138121008871467,0.12219456035460252,0.15476343865883513,0.15632429475123155,2295,9.0
americredit,480,27,1190,14,12,0.1462008231736797,0.1314431520180961,0.1629224757878515,0.16624989128356993,2295,9.0
americredit,480,28,1165,8,15,0.15081389679613247,0.1357120770880978,0.16780000197795236,0.17197521391853254,2295,9.0
americredit,480,29,1127,18,16,0.1613314590613431,0.14369822860363038,0.17949809678887496,0.18520009958797923,2295,9.0
americredit,480,30,954,6,5,0.16534812417520586,0.14874213658936855,0.1835269805856032,0.1903246272635265,2295,9.0
americredit,480,31,821,10,6,0.17303735519910474,0.15619530742611298,0.19179680117454115,0.20018669026884284,2295,9.0
americredit,480,32,689,6,6,0.17842762890671454,0.16098426708458066,0.19777096616164885,0.2071516828064146,2295,9.0
americredit,480,33,593,9,4,0.1876583590080261,0.1680307612804292,0.20623575813650574,0.21918479385994283,2295,9.0
americredit,480,34,498,0,7,0.1876583590080261,0.1680307612804292,0.20623575813650574,0.21918479385994283,2295,9.0
americredit,480,35,410,6,1,0.19624139788957345,0.17565932193104178,0.21532742579172412,0.2306113578522364,2295,9.0
americredit,480,36,326,3,3,0.2015465584252538,0.18259165496303778,0.22118089739228755,0.23769162143028322,2295,9.0
americredit,500,0,0,0,0,0.0,0.0,0.0,0.0,4581,9.0
americredit,500,1,0,0,0,0.0,0.0,0.0,0.0,4581,9.0
americredit,500,2,48,0,0,0.0,0.0,0.0,0.0,4581,9.0
americredit,500,3,557,0,4,0.0,0.0,0.0,0.0,4581,9.0
americredit,500,4,948,1,2,0.001047277079593058,0.0,0.004022486976005111,0.0010548523206751481,4581,9.0
americredit,500,5,1293,2,12,0.002578099724937899,0.0,0.005957226512501816,0.002600011095121091,4581,9.0
americredit,500,6,1568,6,15,0.006324124272251774,0.0024704813887529813,0.010537783646798438,0.006416592685318356,4581,9.0
americredit,500,7,1804,9,16,0.011142666379813773,0.0067346921971667174,0.0163258037996542,0.011373494384781857,4581,9.0
americredit,500,8,2102,14,15,0.017486392446572373,0.012051632543510224,0.02343453813910368,0.0179580667342647,4581,9.0
americredit,500,9,2407,9,12,0.020998615641643747,0.01521243352144957,0.027608222370922062,0.021630014137418718,4581,9.0
americredit,500,10,2657,11,18,0.02485349834050392,0.018330337059404962,0.03140035035567037,0.02568047324336087,4581,9.0
americredit,500,11,2704,18,23,0.030984192638072554,0.024076142321189455,0.037946998865156595,0.03216632808123787,4581,9.0
americredit,500,12,2700,14,24,0.03568716681095226,0.028209940047874416,0.042515015898940675,0.03718472489859437,4581,9.0
americredit,500,13,2693,24,31,0.04365660116342531,0.035523034165096445,0.050813133188563564,0.045765328909895375,4581,9.0
americredit,500,14,2687,18,29,0.04952467926776767,0.04175181224134775,0.05783762726782696,0.05215767132880933,4581,9.0
americredit,500,15,2681,27,22,0.058192187396524014,0.04737011823665521,0.06612615930266115,0.061703267328108935,4581,9.0
americredit,500,16,2668,20,27,0.06452593202279051,0.053783840079639246,0.0734746349226954,0.06873697596882777,4581,9.0
americredit,500,17,2645,18,25,0.07017457860082456,0.06029577800469177,0.07875457952950896,0.07507449371270725,4581,9.0
americredit,500,18,2632,18,23,0.07575884090935214,0.065820871238453,0.08493907601344308,0.08139997209917049,4581,9.0
americredit,500,19,2619,23,27,0.0828180013979204,0.07216924517521718,0.09171909348088123,0.08946709720101054,4581,9.0
americredit,500,20,2606,27,32,0.09098718537083506,0.0797551738795509,0.09949224326845861,0.0989008609675388,4581,9.0
americredit,500,21,2584,26,28,0.09874116572077134,0.08659187031758267,0.10765276835935869,0.10796764797018743,4581,9.0
americredit,500,22,2574,24,16,0.105776335269037,0.0939570320522806,0.11486370619483129,0.11628496593783133,4581,9.0
americredit,500,23,2579,24,27,0.11268875079261405,0.10071649445351866,0.12299558087085205,0.12450875842231846,4581,9.0
americredit,500,24,2573,27,21,0.12032921319022505,0.10681492682757758,0.13006674287957184,0.13369580215438115,4581,9.0
americredit,500,25,2563,27,42,0.12785639522454725,0.11518084718534431,0.1385452203666141,0.14282190958389018,4581,9.0
americredit,500,26,2505,26,23,0.13507296344859676,0.12037675755427632,0.1456297297158295,0.15171876800737083,4581,9.0
