lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
capone,orig_apr,820,0.07057290672309002,0.07043438244789753,-0.00013852427519249477,0.00013927670975888716,-0.9945975564206321,17270,14321,False,False,False
capone,orig_apr,825,0.07017317442797594,0.06996218725555808,-0.00021098717241785359,0.00014429450017719683,-1.4621982969465688,17549,12240,False,False,False
capone,orig_apr,830,0.06959609439493902,0.07012556071832059,0.0005294663233815639,0.00015243778776156714,3.4733272580006163,17472,9960,True,False,False
capone,orig_apr,835,0.0698092959360112,0.06978517740431592,-2.4118531695288548e-05,0.00016620908587969442,-0.14510958632397533,16925,7546,False,False,False
capone,orig_apr,840,0.06968784393388712,0.06938692638948309,-0.0003009175444040335,0.0001896909979257003,-1.586356483410453,15783,5360,False,False,False
capone,orig_apr,845,0.06932259879388718,0.06934285354939955,2.0254755512372213e-05,0.0002277574189409894,0.08893126558314265,14321,3433,False,False,False
capone,orig_apr,850,0.06909308673474478,0.06936883503213156,0.0002757482973867881,0.0002907845989335978,0.9482905848454397,12240,2002,False,False,False
capone,orig_amount,710,26993.847391968204,26329.9371077741,-663.9102841941021,349.119924479203,-1.9016682739734354,1423,5539,True,False,False
capone,orig_amount,715,26656.203724441137,25684.20334015127,-972.0003842898659,276.9641784934649,-3.5094805024137834,2289,6112,True,False,False
capone,orig_amount,720,25800.9728218227,25521.265788386372,-279.70703343632704,234.23694834805073,-1.1941200370349458,3243,7207,False,False,False
capone,orig_amount,725,25342.143471607775,25082.502484890512,-259.6409867172624,204.52301502721383,-1.2694952041593686,4326,8280,False,False,False
